file,href,keyword,match_page,text
Годишен финансов отчет за 2019 г. .pdf,https://www.ccbank.bg/bg/files/849-godishen-finansov-otchet-za-2019-g.pdf, ИИ ,64,"Размерът на провиз ии за задължения с е признава за разход и пасив, когато Банката има текущи"
Годишен финансов отчет за 2019 г. .pdf,https://www.ccbank.bg/bg/files/849-godishen-finansov-otchet-za-2019-g.pdf, ИИ ,81,39 18.  ПРОВИЗ ИИ ЗА ЗАДЪЛЖЕНИЯ (ПРОДЪЛЖЕНИЕ)
Годишен финансов отчет за 2019 г. .pdf,https://www.ccbank.bg/bg/files/849-godishen-finansov-otchet-za-2019-g.pdf, ИИ ,88,Потенциален брой акц ии от емитирани конвертируеми
Годишен финансов отчет за 2020 г..pdf,https://www.ccbank.bg/bg/files/1214-godishen-finansov-otchet-za-2020-g.pdf, ИИ ,132,"индикатори, използваните от Банката  макроикономически сценар ии не са променяни вследствие"
Годишен финансов отчет за 2022 г..pdf,https://www.ccbank.bg/bg/files/1839-godishen-finansov-otchet-za-2022-g.pdf, ИИ ,17,определяне на експозициите като експозиц ии със съществено влошаване в кредитното качество
Годишно оповестяване 2019 година.pdf,https://www.ccbank.bg/bg/files/946-godishno-opovestjavane-2019-godina.pdf, ИИ ,25,28 С ъ в к у пни к оре к ц ии на  ба зов ия  с обс тв е н к а пита л от
Годишно оповестяване 2019 година.pdf,https://www.ccbank.bg/bg/files/946-godishno-opovestjavane-2019-godina.pdf, ИИ ,25,51К а пита л от в тори ре д (К 2 ) пре ди к оре к ц ии с  огле д на
Годишно оповестяване 2019 година.pdf,https://www.ccbank.bg/bg/files/946-godishno-opovestjavane-2019-godina.pdf, ИИ ,25,57 С ъ в к у пни к оре к ц ии на  к а пита ла  от в тори ре д (К 2 ) с
Годишно оповестяване 2019 година.pdf,https://www.ccbank.bg/bg/files/946-godishno-opovestjavane-2019-godina.pdf, ИИ ,25,К а пита л от в тори ре д (К 2 ): к оре к ц ии с  огле д на  норм а тив ните  изис к в а нияБ а зов  с обс тв е н к а пита л от пъ рв и ре д: инс тру м е нти и
Годишно оповестяване 2019 година.pdf,https://www.ccbank.bg/bg/files/946-godishno-opovestjavane-2019-godina.pdf, ИИ ,25,Б а зов  с обс тв е н к а пита л от пъ рв и ре д (Б С К 1 ): к оре к ц ии с  огле д на  норм а тив ните  изис к в а ния
Годишно оповестяване за 2021 година.pdf,https://www.ccbank.bg/bg/files/1613-godishno-opovestjavane-za-2021-godina.pdf, ИИ ,30,28 С ъ в к у пни к оре к ц ии на  ба зов ия  с обс тв е н к а пита л от
Годишно оповестяване за 2021 година.pdf,https://www.ccbank.bg/bg/files/1613-godishno-opovestjavane-za-2021-godina.pdf, ИИ ,30,51К а пита л от в тори ре д (К 2 ) пре ди к оре к ц ии с  огле д на
Годишно оповестяване за 2021 година.pdf,https://www.ccbank.bg/bg/files/1613-godishno-opovestjavane-za-2021-godina.pdf, ИИ ,30,57 С ъ в к у пни к оре к ц ии на  к а пита ла  от в тори ре д (К 2 ) с
Годишно оповестяване за 2021 година.pdf,https://www.ccbank.bg/bg/files/1613-godishno-opovestjavane-za-2021-godina.pdf, ИИ ,30,К а пита л от в тори ре д (К 2 ): к оре к ц ии с  огле д на  норм а тив ните  изис к в а нияБ а зов  с обс тв е н к а пита л от пъ рв и ре д: инс тру м е нти и
Годишно оповестяване за 2021 година.pdf,https://www.ccbank.bg/bg/files/1613-godishno-opovestjavane-za-2021-godina.pdf, ИИ ,30,Б а зов  с обс тв е н к а пита л от пъ рв и ре д (Б С К 1 ): к оре к ц ии с  огле д на  норм а тив ните  изис к в а ни
Годишно оповестяване за 2021 година.pdf,https://www.ccbank.bg/bg/files/1613-godishno-opovestjavane-za-2021-godina.pdf, ИИ ,33,10 Експозиц ии в неизпълнение  53 101  56 568
