file,href,keyword,match_page,text
2021 Year End disclosure DSK Bank According to Regulation 575 dated 2013 on Prudential Requirements for Credit institutions and investment firms (updated).pdf,https://dskbank.bg/docs/default-source/%D0%B4%D0%BE%D0%BA%D1%83%D0%BC%D0%B5%D0%BD%D1%82%D0%B8/%D0%BE%D0%BF%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8F%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F/2021/2021-year-end-disclosure-dsk-bank-according-to-regulation-575-dated-2013-on-prudential-requirements-for-credit-institutions-and-investment-firmse7a6dab14d38650e9d59ff0900048325.pdf?sfvrsn=10/10/2022-11:25, AI ,68,In 2014 the Bank accepted policy ai ming to regulate asset encumbrance. The policy corresponds with
"Consolidated Financial Statement for the Year Ended December 31, 2017, report on the management and activity, declaration of corporate governance and independent auditors' report.pdf",https://dskbank.bg/docs/default-source/%D0%B4%D0%BE%D0%BA%D1%83%D0%BC%D0%B5%D0%BD%D1%82%D0%B8/%D1%84%D0%B8%D0%BD%D0%B0%D0%BD%D1%81%D0%BE%D0%B2%D0%B0-%D0%B8%D0%BD%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%86%D0%B8%D1%8F-%D0%B7%D0%B0-%D0%B1%D0%B0%D0%BD%D0%BA%D0%B0-%D0%B4%D1%81%D0%BA/2017/consolidated-financial-statement-for-the-year-ended-december-31-2017-report-on-the-management-and-activity-declaration-of-corporate-governance-and-independent-auditors'-report.pdf?sfvrsn=24/06/2021-19:43,innovation,18,"innovation exceptionally successfully, and has manifested an enviable ability to adapt to the"
"DSK Bank Group consolidated financial statements for the year ended 31 December 2020, management and activity, declaration of corporate government and independent auditor's report.pdf",https://dskbank.bg/docs/default-source/%D0%B4%D0%BE%D0%BA%D1%83%D0%BC%D0%B5%D0%BD%D1%82%D0%B8/%D1%84%D0%B8%D0%BD%D0%B0%D0%BD%D1%81%D0%BE%D0%B2%D0%B0-%D0%B8%D0%BD%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%86%D0%B8%D1%8F-%D0%B7%D0%B0-%D0%B1%D0%B0%D0%BD%D0%BA%D0%B0-%D0%B4%D1%81%D0%BA/2020/dsk-bank-group-consolidated-financial-statements-for-the-year-ended-31-december-2020-management-and-activity-declaration-of-corporate-government-and-independent-auditor's-report.pdf?sfvrsn=24/06/2021-19:41,innovation,22,"expertise and capacity, products and innovations, in order to continue to offer to our clients and employees the optimum oppo rtunities"
"DSK Bank Group consolidated financial statements for the year ended 31 December 2020, management and activity, declaration of corporate government and independent auditor's report.pdf",https://dskbank.bg/docs/default-source/%D0%B4%D0%BE%D0%BA%D1%83%D0%BC%D0%B5%D0%BD%D1%82%D0%B8/%D1%84%D0%B8%D0%BD%D0%B0%D0%BD%D1%81%D0%BE%D0%B2%D0%B0-%D0%B8%D0%BD%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%86%D0%B8%D1%8F-%D0%B7%D0%B0-%D0%B1%D0%B0%D0%BD%D0%BA%D0%B0-%D0%B4%D1%81%D0%BA/2020/dsk-bank-group-consolidated-financial-statements-for-the-year-ended-31-december-2020-management-and-activity-declaration-of-corporate-government-and-independent-auditor's-report.pdf?sfvrsn=24/06/2021-19:41,innovation,23,INTERNAL PROGRAMS AND INNOVATION INITIATIVES
"DSK Bank Group consolidated financial statements for the year ended 31 December 2020, management and activity, declaration of corporate government and independent auditor's report.pdf",https://dskbank.bg/docs/default-source/%D0%B4%D0%BE%D0%BA%D1%83%D0%BC%D0%B5%D0%BD%D1%82%D0%B8/%D1%84%D0%B8%D0%BD%D0%B0%D0%BD%D1%81%D0%BE%D0%B2%D0%B0-%D0%B8%D0%BD%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%86%D0%B8%D1%8F-%D0%B7%D0%B0-%D0%B1%D0%B0%D0%BD%D0%BA%D0%B0-%D0%B4%D1%81%D0%BA/2020/dsk-bank-group-consolidated-financial-statements-for-the-year-ended-31-december-2020-management-and-activity-declaration-of-corporate-government-and-independent-auditor's-report.pdf?sfvrsn=24/06/2021-19:41,innovation,23,"services, internal efficiency, produc t innovations in retail banking and banking for small and medium enterprises, etc ."
"DSK Bank Group consolidated financial statements for the year ended 31 December 2020, management and activity, declaration of corporate government and independent auditor's report.pdf",https://dskbank.bg/docs/default-source/%D0%B4%D0%BE%D0%BA%D1%83%D0%BC%D0%B5%D0%BD%D1%82%D0%B8/%D1%84%D0%B8%D0%BD%D0%B0%D0%BD%D1%81%D0%BE%D0%B2%D0%B0-%D0%B8%D0%BD%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%86%D0%B8%D1%8F-%D0%B7%D0%B0-%D0%B1%D0%B0%D0%BD%D0%BA%D0%B0-%D0%B4%D1%81%D0%BA/2020/dsk-bank-group-consolidated-financial-statements-for-the-year-ended-31-december-2020-management-and-activity-declaration-of-corporate-government-and-independent-auditor's-report.pdf?sfvrsn=24/06/2021-19:41,innovation,24,"the change . The first campaign for innovative ideas under the name “Innovations under isolation”, or how to successfully manage"
"DSK Bank Group consolidated financial statements for the year ended 31 December 2020, management and activity, declaration of corporate government and independent auditor's report.pdf",https://dskbank.bg/docs/default-source/%D0%B4%D0%BE%D0%BA%D1%83%D0%BC%D0%B5%D0%BD%D1%82%D0%B8/%D1%84%D0%B8%D0%BD%D0%B0%D0%BD%D1%81%D0%BE%D0%B2%D0%B0-%D0%B8%D0%BD%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%86%D0%B8%D1%8F-%D0%B7%D0%B0-%D0%B1%D0%B0%D0%BD%D0%BA%D0%B0-%D0%B4%D1%81%D0%BA/2020/dsk-bank-group-consolidated-financial-statements-for-the-year-ended-31-december-2020-management-and-activity-declaration-of-corporate-government-and-independent-auditor's-report.pdf?sfvrsn=24/06/2021-19:41,innovation,24,Financial education and innovations
"DSK Bank Separate financial statements for the year ended 31 December 2020, report on the management and activity, declaration of corporate government and independent auditors' report.pdf",https://dskbank.bg/docs/default-source/%D0%B4%D0%BE%D0%BA%D1%83%D0%BC%D0%B5%D0%BD%D1%82%D0%B8/%D1%84%D0%B8%D0%BD%D0%B0%D0%BD%D1%81%D0%BE%D0%B2%D0%B0-%D0%B8%D0%BD%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%86%D0%B8%D1%8F-%D0%B7%D0%B0-%D0%B1%D0%B0%D0%BD%D0%BA%D0%B0-%D0%B4%D1%81%D0%BA/2020/dsk-bank-separate-financial-statements-for-the-year-ended-31-december-2020-report-on-the-management-and-activity-declaration-of-corporate-government-and-independent-auditors'-report.pdf?sfvrsn=24/06/2021-19:41,innovation,16,"expertise and capacity, products and innovations, in order to continue to offer to our clients and employees the optimum oppo rtunities"
"DSK Bank Separate financial statements for the year ended 31 December 2020, report on the management and activity, declaration of corporate government and independent auditors' report.pdf",https://dskbank.bg/docs/default-source/%D0%B4%D0%BE%D0%BA%D1%83%D0%BC%D0%B5%D0%BD%D1%82%D0%B8/%D1%84%D0%B8%D0%BD%D0%B0%D0%BD%D1%81%D0%BE%D0%B2%D0%B0-%D0%B8%D0%BD%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%86%D0%B8%D1%8F-%D0%B7%D0%B0-%D0%B1%D0%B0%D0%BD%D0%BA%D0%B0-%D0%B4%D1%81%D0%BA/2020/dsk-bank-separate-financial-statements-for-the-year-ended-31-december-2020-report-on-the-management-and-activity-declaration-of-corporate-government-and-independent-auditors'-report.pdf?sfvrsn=24/06/2021-19:41,innovation,17,INTERNAL PROGRAMS AND INNOVATION INITIATIVES
"DSK Bank Separate financial statements for the year ended 31 December 2020, report on the management and activity, declaration of corporate government and independent auditors' report.pdf",https://dskbank.bg/docs/default-source/%D0%B4%D0%BE%D0%BA%D1%83%D0%BC%D0%B5%D0%BD%D1%82%D0%B8/%D1%84%D0%B8%D0%BD%D0%B0%D0%BD%D1%81%D0%BE%D0%B2%D0%B0-%D0%B8%D0%BD%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%86%D0%B8%D1%8F-%D0%B7%D0%B0-%D0%B1%D0%B0%D0%BD%D0%BA%D0%B0-%D0%B4%D1%81%D0%BA/2020/dsk-bank-separate-financial-statements-for-the-year-ended-31-december-2020-report-on-the-management-and-activity-declaration-of-corporate-government-and-independent-auditors'-report.pdf?sfvrsn=24/06/2021-19:41,innovation,17,"efficiency, product innovations in retail ba nking and banking for small and medium enterprises, etc ."
