file,href,keyword,match_page,text
Годишен отчет 2011.pdf,https://www.postbank.bg/Za-nas/Financial-Data/Otcheti/-/media/Postbank/Files/PB_FSSR2011_Bg_LOW-RES_121109.pdf,иновации,3,Писмо до заинтересованите страниРъководни принципи и възгледиПринос към устойчивото развитиеПодобряване качеството на продуктите и услугитеИнформационни технологии и иновацииОтговорно поведение и отговорност за качеството на продуктитеРазвитие на човешкия капиталНамаляване на екологичния отпечатъкОбществен принос
Годишен отчет 2011.pdf,https://www.postbank.bg/Za-nas/Financial-Data/Otcheti/-/media/Postbank/Files/PB_FSSR2011_Bg_LOW-RES_121109.pdf,иновации,22,"бите, маркетинговите кампании, корекциите на лихвени проценти и продуктовите иновации. Продължаващият преход към ориентиран към клиента бизнес модел с цел съгласуване на продуктовите оферти със специфичните"
Годишен отчет 2011.pdf,https://www.postbank.bg/Za-nas/Financial-Data/Otcheti/-/media/Postbank/Files/PB_FSSR2011_Bg_LOW-RES_121109.pdf,иновации,69,на човешкия капитал и технологични иновации.
Годишен отчет 2013.pdf,https://www.postbank.bg/Za-nas/Financial-Data/Otcheti/-/media/Postbank/Files/AnnualReport2013_webversion.pdf,иновации,11,Нови продукти и иновации  През 2013 г. Пощенска банка представя за първи път на българския пазар иновативния „Спестовен
Годишен отчет 2013.pdf,https://www.postbank.bg/Za-nas/Financial-Data/Otcheti/-/media/Postbank/Files/AnnualReport2013_webversion.pdf, ИИ ,43,"ръста на БВП. Износът беше основният двигател на растежа през 2013 година нараствайки със 6.8%, докато вносът се увеличи само с 1,3%. БВП на България нарасна с 0,9%, което е малко по-ви-соко от растежа през 2012 г. (0,6%). Сви тото потребление и липсата на инвестиц ии се посочват"
Годишен отчет 2013.pdf,https://www.postbank.bg/Za-nas/Financial-Data/Otcheti/-/media/Postbank/Files/AnnualReport2013_webversion.pdf,иновация,45,"През 2013 г. Пощенска банка представя за първи път на българския пазар иновативния „Спестовен жилищен кредит”, с който лихвата по кредита намалява автоматично, когато клиентите увелича-ват размера на спестяванията си в Банката. Същевременно клиентите запазват дохода от сред-ствата си и продължават да разполагат с тях напълно свободно. В допълнение на тази иновация, Управление „Жилищно кредитиране“ постигна ръст от 25% на новия си бизнес на годишна база. Управлението отчете и 80% ръст на онлайн апли кациите за жилищни кредити през корпоративния"
Годишен отчет 2013.pdf,https://www.postbank.bg/Za-nas/Financial-Data/Otcheti/-/media/Postbank/Files/AnnualReport2013_webversion.pdf,иновации,45,Нови продукти и иновации
Годишен отчет 2013.pdf,https://www.postbank.bg/Za-nas/Financial-Data/Otcheti/-/media/Postbank/Files/AnnualReport2013_webversion.pdf,иновации,68,"стабилна икономическа позиция и възможности за инвестиции, развитие на човешкия капитал и технологични иновации."
Годишен отчет 2013.pdf,https://www.postbank.bg/Za-nas/Financial-Data/Otcheti/-/media/Postbank/Files/AnnualReport2013_webversion.pdf,иновации,74,ИНФОРМАЦИОННИ ТЕХНОЛОГИИ И ИНОВАЦИИ
Годишен отчет 2013.pdf,https://www.postbank.bg/Za-nas/Financial-Data/Otcheti/-/media/Postbank/Files/AnnualReport2013_webversion.pdf,иновации,74,ИНФОРМАЦИОННИ ТЕХНОЛОГИИ И ИНОВАЦИ
Годишен отчет 2013.pdf,https://www.postbank.bg/Za-nas/Financial-Data/Otcheti/-/media/Postbank/Files/AnnualReport2013_webversion.pdf,иновации,76,ИНФОРМАЦИОННИ ТЕХНОЛОГИИ И ИНОВАЦИИКлючови страте гически  и групови ини циативи
Годишен отчет 2014.pdf,https://www.postbank.bg/Za-nas/Financial-Data/Otcheti/-/media/Postbank/Files/AnnualReports/2014/Annual_Report_2015_BG_low_size.pdf,иновации,6,"клиенти да използват интернет базирани банкови услуги и развиваме възможностите на онлайн банкирането си. Иновациите са посоката, в която се развиваме и надграждаме досегашните си добри практики."
Годишен отчет 2014.pdf,https://www.postbank.bg/Za-nas/Financial-Data/Otcheti/-/media/Postbank/Files/AnnualReports/2014/Annual_Report_2015_BG_low_size.pdf,иновации,9,Нови продукти и иновации
Годишен отчет 2014.pdf,https://www.postbank.bg/Za-nas/Financial-Data/Otcheti/-/media/Postbank/Files/AnnualReports/2014/Annual_Report_2015_BG_low_size.pdf,иновации,10,• 25 септември 2014 г.: Пощенска банка стана национален шампион на България в European Business Awards. Банката представи страната ни в категорията за иновации в бизнеса със своя продукт „Спестовен жилищен кредит“.
Годишен отчет 2014.pdf,https://www.postbank.bg/Za-nas/Financial-Data/Otcheti/-/media/Postbank/Files/AnnualReports/2014/Annual_Report_2015_BG_low_size.pdf,иновации,15,"клоновата си мрежа, запазвайки широко географско присъствие в цялата страна и в същото време подобрявайки обслужването на клиентите. През последното тримесечие на годината банката започна изграждането на нови специализирани центрове за обслужване на клиенти . До края на 2015 г. ще отворят врати общо 20 нови експертни центъра от този тип. Те ще предлагат нов модел на банково обслужване, съчетаващ иновации и предоставяне на профилирани услуги на всяка група клиенти – индивидуални клиенти, които търсят жилищен кредит, заможни клиенти или малки и средни фирми. Този модел ще даде възможност на банката да бъде по-близо до потребителите, да им предложи най-доброто обслужване и най-важното – да им предоставя финансово решение, създадено от нейните консултанти според техните конкретни нужди."
Годишен отчет 2014.pdf,https://www.postbank.bg/Za-nas/Financial-Data/Otcheti/-/media/Postbank/Files/AnnualReports/2014/Annual_Report_2015_BG_low_size.pdf,иновации,19,Преглед на финансовото представяне и бизнесаПродуктови иновации
Годишен отчет 2014.pdf,https://www.postbank.bg/Za-nas/Financial-Data/Otcheti/-/media/Postbank/Files/AnnualReports/2014/Annual_Report_2015_BG_low_size.pdf,иновации,19,"организация EFMA и включена в официалния им онлайн портал, посветен на най-добрите световни практики в банкирането на дребно. През 2014 г. иновативната видео консултация на Пощенска банка беше номинирана и за участие в международните награди „Дистрибуция и иновации в маркетинга 2015 г.“, провеждани от EFMA."
Годишен отчет 2014.pdf,https://www.postbank.bg/Za-nas/Financial-Data/Otcheti/-/media/Postbank/Files/AnnualReports/2014/Annual_Report_2015_BG_low_size.pdf,иновации,36,Нови продукти и иновации
