file,href,keyword,match_page,text
(5) Separate_2015.pdf,NA,innovation,15,Попечителските услуги от Global  Custodian  (Innovation  Award  in Secu rities Services ).
(5) Separate_2015.pdf,NA,иновации,15,клиенти.  През 2015 Райфайзенбанк получи престижната Награда за Иновации в
(6) Consolidated_2015.pdf,NA,innovation,18,Попечителските услуги от Global  Custodian  (Innovation  Award  in Securities  Services ).
(6) Consolidated_2015.pdf,NA,иновации,18,клиенти.  През 2015 Райфайзенбанк получи престижната Награда за Иновации в
(8) Consolidated with audit_2015.pdf,NA, ИИ ,60,транзакц ии със същия инструмент или въз основа на техники за
1 3  BG_KBC BANK BULGARIA EAD SEP FS2022 BG (1).pdf,NA,иновации,53,"Следвайки стратегията за дигитализация и иновации, ще продължим да"
1 3  BG_KBC BANK BULGARIA EAD SEP FS2022 BG (1).pdf,NA,иновации,54,"отношение на клиентско преживяване, иновации и ефективност,"
1 3  BG_KBC BANK BULGARIA EAD SEP FS2022 BG (1).pdf,NA,иновации,54,превръщане на постоянните иновации в изключително клиентско
1 3  BG_KBC BANK BULGARIA EAD SEP FS2022 BG (1).pdf,NA,иновации,59,"В резултат на създадените иновации, свързани с дигитализацията и"
1 3  BG_KBC BANK BULGARIA EAD SEP FS2022 BG (1).pdf,NA,artificial intelligence,62,"(Artificial Intelligence Assistant) вече е в дигиталните канали, през които"
1 3  BG_KBC BANK BULGARIA EAD SEP FS2022 BG (1).pdf,NA,изкуствен интелект,62,"последно поколение изкуствен интелект, който помага на клиентите да"
1 3  BG_KBC BANK BULGARIA EAD SEP FS2022 BG (1).pdf,NA,изкуствен интелект,62,уебсайта на банката и  AIA - нашия  чатбот с изкуствен интелект.
1 3  BG_KBC BANK BULGARIA EAD SEP FS2022 BG (1).pdf,NA,иновации,65,със средства по Оперативна програма „Иновации и
1 INDIVIDUALEN_GFO_2020.pdf,NA, ИИ ,6,Доклад за фактически констатац ии във връзка с надеждността на
1 INDIVIDUALEN_GFO_2020.pdf,NA,иновации,45,иновации и ефективност.
1 INDIVIDUALEN_GFO_2020.pdf,NA,иновации,45,превръщане на постоянните иновации в изключително клиентско
1 INDIVIDUALEN_GFO_2020.pdf,NA,artificial intelligence,54,"Artificial Intelligence Assistant) вече е в дигиталните канали, през които хората най -"
1 INDIVIDUALEN_GFO_2020.pdf,NA,изкуствен интелект,54,"послед но поколение изкуствен интелект, който помага на клиентите да получат"
1 INDIVIDUALEN_GFO_2020.pdf,NA,изкуствен интелект,55,RaiConnect и нашия чатбот с изкуствен интелект RAIA.
