file,href,keyword,match_page,text
Годишен отчет на УниКредит Булбанк за 2015 г..pdf,https://www.unicreditbulbank.bg/media/filer_public/3c/5e/3c5e9e83-03f2-4f44-8085-e577fb7b3945/unicredit-bulbank-annual-report-2015.pdf,big data,39,"проекта, част от CEE 2020 PLUS: „Унифицирани услуги към международните клиенти“ се фокусира върху въвеждането на специално обслужване за мултинационални клиенти; “Big Data“ е с акцент върху предлагането на индивидуални продуктови оферти според клиентските нужди и изграждане на дългосрочни партньорски взаимоотношения."
Годишен отчет на УниКредит Булбанк за 2016 г..pdf,https://www.unicreditbulbank.bg/media/filer_public/2f/cc/2fcc751e-d671-4821-aa17-dd1b9114160b/annual_report_2016_bg_bookcovers_final.pdf,big data,9,"стартира инициативата „Big Data“, която цели да увеличи"
Годишен отчет на УниКредит Булбанк за 2016 г..pdf,https://www.unicreditbulbank.bg/media/filer_public/2f/cc/2fcc751e-d671-4821-aa17-dd1b9114160b/annual_report_2016_bg_bookcovers_final.pdf,big data,40,"продължи да разработва две важни инициативи, Big Data"
Годишен отчет на УниКредит Булбанк за 2016 г..pdf,https://www.unicreditbulbank.bg/media/filer_public/2f/cc/2fcc751e-d671-4821-aa17-dd1b9114160b/annual_report_2016_bg_bookcovers_final.pdf,big data,50,поведение чрез използване на BIG DATA технологии. ИТ
Годишен отчет на УниКредит Булбанк за 2017 г..pdf,https://www.unicreditbulbank.bg/media/filer_public/32/4e/324edae4-8e0c-4ea7-aab1-5c52c4469676/annual_report_2017_bg_book.pdf,big data,8,"кредитиране и ускорената процедура за микрокредитиране и обслужване на МСП, гарантираха високото ниво на ефикасност, както и увеличената удовлетвореност на клиентите. В корпоративно банкиране бе внедрено ново дигитално приложение за анализ на данни Big Data, което имаше за цел да осигури по-задълбочено разбиране на поведението на клиентите с предоставянето на комплексен анализ на сложни бизнес тенденции, предлагане на бизнес възможности и изграждане на дългосрочни отношения. Международните клиенти продължиха да бъдат във фокуса на вниманието при използване на пълния потенциал на уникалното географско покритие на УниКредит Груп, за да се насърчат придобиванията, да се намали загубата на клиенти и да се постигне по-добро разбиране на клиентските профили и потребности. В частно банкиране концепцията за консултиране съобразно потребностите"
Годишен отчет на УниКредит Булбанк за 2017 г..pdf,https://www.unicreditbulbank.bg/media/filer_public/32/4e/324edae4-8e0c-4ea7-aab1-5c52c4469676/annual_report_2017_bg_book.pdf,big data,39,"Във връзка с реализирането на плана Transform 2019 в страните от ЦИЕ Банката отново бе активно включена в няколко Групови стратегическите инициативи. Чрез използването на редица иновации и въвеждане на цифровизацията УниКредит успя да затвърди позицията си на банковия пазар. В този смисъл Корпоративно банкиране продължи да разработва редица важни инициативи - Capital Light бизнес модел, Big Data и One CIB. В Частно банкиране Transform 2019 е насочен към усъвършенстване модела на обслужване и консултантските услуги чрез няколко инициативи: концепцията за консултиране съобразно потребностите, приложение Unique, приложение iLibrary и др."
Годишен отчет на УниКредит Булбанк за 2017 г..pdf,https://www.unicreditbulbank.bg/media/filer_public/32/4e/324edae4-8e0c-4ea7-aab1-5c52c4469676/annual_report_2017_bg_book.pdf,big data,39,с клиентите на УниКредит Булбанк позволява по-добро разбиране на потребностите на клиента и предлагане на подходящи решения. Иновативната платформа улеснява внедряването на структуриран процес по планиране на отношенията с клиента и насърчава по-добро сътрудничество между мениджърите и продуктовите специалисти. Важна стъпка за по-задълбоченото познаване на клиентското поведение е новото дигитално приложение от CEE CIB за анализ на Big Data и за създаване на предложения чрез изкуствен интелект.
Годишен отчет на УниКредит Булбанк за 2017 г..pdf,https://www.unicreditbulbank.bg/media/filer_public/32/4e/324edae4-8e0c-4ea7-aab1-5c52c4469676/annual_report_2017_bg_book.pdf,изкуствен интелект,39,с клиентите на УниКредит Булбанк позволява по-добро разбиране на потребностите на клиента и предлагане на подходящи решения. Иновативната платформа улеснява внедряването на структуриран процес по планиране на отношенията с клиента и насърчава по-добро сътрудничество между мениджърите и продуктовите специалисти. Важна стъпка за по-задълбоченото познаване на клиентското поведение е новото дигитално приложение от CEE CIB за анализ на Big Data и за създаване на предложения чрез изкуствен интелект.
Годишен отчет на УниКредит Булбанк за 2018 г..pdf,https://www.unicreditbulbank.bg/media/filer_public/36/20/3620df71-cbda-4971-b2ce-357934b212a1/annual_report_2018_bg_bookcover.pdf,big data,42,"оптимизацията на процесите, технологиите за Big Data"
Годишен отчет на УниКредит Булбанк за 2018 г..pdf,https://www.unicreditbulbank.bg/media/filer_public/36/20/3620df71-cbda-4971-b2ce-357934b212a1/annual_report_2018_bg_bookcover.pdf,big data,42,Big Data  – изграждане на допълнителни подобрения и
Годишен отчет на УниКредит Булбанк за 2018 г..pdf,https://www.unicreditbulbank.bg/media/filer_public/36/20/3620df71-cbda-4971-b2ce-357934b212a1/annual_report_2018_bg_bookcover.pdf,big data,55,"• Бизнес анализи и решения, базирани на данни  (Big Data)"
Годишен отчет на УниКредит Булбанк за 2019 г..pdf,https://www.unicreditbulbank.bg/media/filer_public/f7/b7/f7b7eb82-7f50-47fa-ad1d-cd4eee725b66/ucb-annual-report-2019-bg.pdf,big data,45,• Big Data – през 2019 г. се въвеждат допълнителни
Годишен отчет на УниКредит Булбанк за 2019 г..pdf,https://www.unicreditbulbank.bg/media/filer_public/f7/b7/f7b7eb82-7f50-47fa-ad1d-cd4eee725b66/ucb-annual-report-2019-bg.pdf,big data,58,"• Бизнес анализи и ИТ решения, базирани на данни (Big Data), за"
Годишен отчет на УниКредит Булбанк за 2019 г..pdf,https://www.unicreditbulbank.bg/media/filer_public/f7/b7/f7b7eb82-7f50-47fa-ad1d-cd4eee725b66/ucb-annual-report-2019-bg.pdf, AI ,59,осигури добра основа за реализиране плана за AI базирана
Годишен отчет на УниКредит Булбанк за 2021 г..pdf,https://www.unicreditbulbank.bg/media/filer_public/d7/0c/d70cc559-9920-4971-9e08-047258408a9b/ucb_ar2021_all_digital_bg_a4_01.pdf, AI ,92,"осезаемо увеличаване на Digital & AI профилите, както и"
Годишно оповествяване 2011 г. на неконсолидирана основа.pdf,https://www.unicreditbulbank.bg/media/filer_public/5d/85/5d85cb90-67da-4e8f-9201-cdb7efe68477/unicredit-bulbank-unconsolidated-annual-disclosure-2011.pdf, ИИ ,6,"компетенц ии за оценка на риска, в съответствие с мястото му в йерархията на"
Годишно оповествяване 2011 г. на неконсолидирана основа.pdf,https://www.unicreditbulbank.bg/media/filer_public/5d/85/5d85cb90-67da-4e8f-9201-cdb7efe68477/unicredit-bulbank-unconsolidated-annual-disclosure-2011.pdf, ИИ ,8,на различните класове експозиц ии
Годишно оповествяване 2011 г. на неконсолидирана основа.pdf,https://www.unicreditbulbank.bg/media/filer_public/5d/85/5d85cb90-67da-4e8f-9201-cdb7efe68477/unicredit-bulbank-unconsolidated-annual-disclosure-2011.pdf, ИИ ,9, Експозиц ии към институции (при липса на вътрешен рейтинг);
Годишно оповествяване 2012 г. на консолидирана основа.pdf,https://www.unicreditbulbank.bg/media/filer_public/5c/74/5c74ba05-4ea1-49ed-beb0-204c3d7c4965/unicredit-bulbank-consolidated-annual-disclosure-2012.pdf, ИИ ,18,"но и по други критер ии като: управление на риска, споделяне на груповите ценности и"
Годишно оповествяване 2012 г. на консолидирана основа.pdf,https://www.unicreditbulbank.bg/media/filer_public/5c/74/5c74ba05-4ea1-49ed-beb0-204c3d7c4965/unicredit-bulbank-consolidated-annual-disclosure-2012.pdf, ИИ ,25,Институц ии 1 688 503  - - 879 170 046  - - 91 62 146  26 - - 1 920 695 - - 996
Годишно оповествяване 2014 г. на консолидирана основа.pdf,https://www.unicreditbulbank.bg/media/filer_public/3c/5a/3c5aa322-43d0-4f78-a6cc-08c017b9c4eb/unicredit-bulbank-consolidated-annual-disclosure-2014.pdf, ИИ ,25,"4 Размер на допустимите позиц ии по член 484, параграф 3 и свързаните премийни"
Годишно оповествяване 2015 г. на неконсолидирана основа.pdf,https://www.unicreditbulbank.bg/media/filer_public/e1/6e/e16e9f9f-7415-4919-8a98-065160501f26/unicredit-bulbank-unconsolidated-annual-disclosure-2015.pdf, ИИ ,17, периодичен контрол на процеса за отнасяне на експозиц ии към отделни
Годишно оповестяване 2016 г. на консолидирана основа.pdf,https://www.unicreditbulbank.bg/media/filer_public/5f/33/5f339684-6b9c-4212-8f4a-b4e8efd504f0/2016_consolidated_annual_disclosure_bg_final.pdf, ИИ ,34,Операц ии с
