,keyword,title,summary,date,href
0,artificial intelligence,УниКредит дава 50 000 евро награда в Appathon 2016 - състезанието за иновативни мобилни приложения,Това е голямата награда в тазгодишния Appathon на групата - онлайн състезанието за разработчици на финансови услуги,2016-07-05T09:03:00+03:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/unikredit-dava-50-000-evro-nagrada-v-appathon-2016/
1,big data,"Промоция 0% лихва, такси, ГПР за 10 месеца от УниКредит Кънсюмър Файненсинг ЕАД в ИКЕА",Обзавеждането на мечтания дом сега е мисия възможна с невероятното предложение от ИКЕА и УниКредит Кънсюмър Файненсинг ЕАД.&nbsp;&nbsp;,2023-01-27T17:28:12+02:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/promociq-0-lihva-taksi-gpr-za-10-meseca/
2,big data,"0% лихва, ГПР и без такса за 6 или 10 месеца от УниКредит Кънсюмър Файненсинг в eMAG!","0% лихва, ГПР и без такси за 6 или 10-месечен период на изплащане от УниКредит Кънсюмър Файненсинг&nbsp;в eMAG.",2023-01-10T13:29:30+02:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/0-lihva-gpr-i-bez-taksa-za-6-ili-10-meseca/
3,big data,Бъдете готови за шопинг битката!,И тази година имате възможността да се възползвате от страхотните намаленията по време на голямото пазаруване с Любимият партньор на ЧЕРНИЯ ПЕТЪК.&nbsp;,2022-11-07T16:27:56+02:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/bdete-gotovi-za-shoping-bitkata/
4,big data,"0% лихва, такси, ГПР за 10 месеца от УниКредит Кънсюмър Файненсинг и първата вноска подарък от ИКЕА",Сега е моментът да обзаведете дома на мечтите си с невероятното предложение от ИКЕА и УниКредит Кънсюмър Файненсинг.,2022-10-05T10:05:27+03:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/promociq-0-lihva-taksi-gpr-za-10-meseca-unicredit/
5,big data,"Електрически скутер Моторетта на изплащане с 0% лихва, такси и ГПР от УниКредит Кънсюмър Файненсинг","Удължете лятото в дните си с електрически скутер Моторетта. 100% екологичен градски скутер без вредни емисии и шум за тези, които търсят удобно, бързо и без трафик градско придвижване.",2022-09-08T15:48:25+03:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/elektricheski-skuter-motoretta-ucf/
6,big data,УниКредит Кънсюмър Файненсинг дарява 22 992 лв. на SOS Детски селища България,На 30 юни 2022 г. приключи поредната съвместна кампания на УниКредит Кънсюмър Файненсинг и SOS Детски селища България - „Заедно сбъдваме детски мечти!“.&nbsp;,2022-08-10T11:00:51+03:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/ucf-darqava-22-992-lv/
7,big data,Специално лятно предложение от УниКредит Кънсюмър Файненсинг в eMAG!,"От 19.07.2022 г. – 24.07.2022 г. УниКредит Кънсюмър Файненсинг&nbsp;и eMAG имат за Вас, специално предложение за повече летни емоции.",2022-07-07T09:25:13+03:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/specialno-lyatno-predlozhenie-ot-unikredit-knsyumr/
8,big data,"0% лихва, такси, ГПР от УниКредит Кънсюмър Файненсинг в eMAG!","Специално мартенско предложение от УниКредит Кънсюмър Файненсинг&nbsp;и eMAG - 0% лихва, 0% ГПР и без такси за 12-месечен период на изплащане.",2022-03-08T15:12:32+02:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/0-lihva-taksi-gpr-ot-ucf-march-2022/
9,big data,"0% лихва, такси, ГПР за 10 месеца от УКФ в ИКЕА","Сега е моментът да обновите дома си с промоционалното предложение на УниКредит Къснюмър Файненсинг в ИКЕА – 0% лихва, 0 лв. такси, 0% ГПР.",2022-01-28T13:52:17+02:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/0-lihva-taksi-gpr-za-10-meseca-ot-ucf-v-ikea/
10,big data,"0% лихва, 0% такси, 0% ГПР при покупка на изплащане от УКФ в Decathlon","Decathlon и УниКредит Кънсюмър Файненсинг имат предложение за екипировката, от която се нуждае всеки привърженик на спорта.",2021-11-10T17:15:24+02:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/0-lihva-0-taksi-0-gpr-pri-pokupka-november/
11,big data,"0% лихва, такси, ГПР при покупка на изплащане от УКФ в Атама!","Атама и УниКредит Кънсюмър Файненсинг имат предложение, от което се нуждаете, за да постигнете целите си! Вземете на изплащане без оскъпяване бягаща пътека MYRUN на TECHNOGYM, за тренировка у дома.",2021-10-08T15:47:07+03:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/0-lihva-taksi-gpr-pri-pokupka-na-izplashane-atama/
12,big data,УКБ и Българска Независима Енергийна Борса постигнаха споразумение за издаване на банкови гаранции,"Двете страни постигнаха споразумение за издаване на банкови гаранции, подписани с Квалифициран електронен подпис (КЕП). Обменът на документация ще се случва електронно, което значително ще улесни и съкрати процеса.",2021-09-23T10:09:29+03:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/ucb-i-bneb-postignaha-sporazumenie/
13,big data,УКБ и Българска Независима Енергийна Борса постигнаха споразумение за издаване на банкови гаранции,"Двете страни постигнаха споразумение за издаване на банкови гаранции, подписани с Квалифициран електронен подпис (КЕП). Обменът на документация ще се случва електронно, което значително ще улесни и съкрати процеса.",2021-09-23T10:09:29+03:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/ucb-i-bneb-postignaha-sporazumenie/
14,big data,Влез във форма с InSPORTline от Саксо с 0% лихва от УКФ,За всички любители на спорта САКСО ООД и УниКредит Кънсюмър Файненсинг имат страхотна оферта.,2021-08-30T14:13:39+03:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/vlez-vv-forma-s-insportline-ot-sakso-s-0-lihva/
15,big data,"0% лихва, такси, ГПР от УниКредит Кънсюмър Файненсинг в eMAG!","От 24.08.2021 г. до 27.08.2021 г. УниКредит Кънсюмър Файненсинг&nbsp;и eMAG ще са в съвместна промоционална кампания 0% лихва, 0% ГПР и без такси за 12-месечен период на изплащане.",2021-08-09T16:53:01+03:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/0-lihva-taksi-gpr-ot-ucf/
16,big data,"0% лихва, такси, ГПР от УниКредит Кънсюмър Файненсинг в eMAG!",От 13.07.2021 г. до 16.07.2021 г. <strong>УниКредит Кънсюмър Файненсинг&nbsp;</strong>и <strong>eMAG </strong>ще са в съвместна промоционална кампания.,2021-07-08T17:48:09+03:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/ucfin-emag-july-campaign-2021/
17,big data,Обръщение на Андреа Орчел към клиентите,"За мен е изключителна гордост да бъда назначен за Главен изпълнителен директор на УниКредит и поемам лично отговорността действително да изпълняваме ролята и на партньор по начина, по който очаквате от своята банка.",2021-04-16T14:32:32+03:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/obrashtenie-na-andrea-orcel/
18,big data,Обръщение на Андреа Орчел към клиентите,"За мен е изключителна гордост да бъда назначен за Главен изпълнителен директор на УниКредит и поемам лично отговорността действително да изпълняваме ролята и на партньор по начина, по който очаквате от своята банка.",2021-04-16T14:32:32+03:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/obrashtenie-na-andrea-orcel/
19,big data,"0% лихва, такси, ГПР от УниКредит Кънсюмър Файненсинг в eMAG!","От 13.04.2021 г. до 16.04.2021 г. УниКредит Кънсюмър Файненсинг&nbsp;и eMAG ще са в съвместна промоционална кампания 0% лихва, такси, ГПР за 12-месечен период на изплащане.",2021-04-13T09:34:24+03:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/0-lihva-taksi-gpr-ot-unicredit-consume-financing-/
20,big data,"0% лихва, такси, ГПР за 6 или 10 месеца от УКФ в Технополис",Купете избрани стоки от Технополис на изплащане без оскъпяване от УниКредит Кънсюмър Файненсинг.,2021-03-05T17:41:39+02:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/0-lihva-taksi-gpr-za-6-ili-10-meseca-ot-ukf-2021/
21,big data,Клиентите на ипотечни кредити с нова възможност да намалят вноските си,"Клиентите на УниКредит Булбанк имат възможност да се възползват от преференциални условия за ипотечно кредитиране на имоти с висок енергиен клас, коментираха експерти от банката по време на онлайн пресконференция, посветена на възможностите на пазара на ипотеките.",2021-02-17T13:44:47+02:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/klientite-na-ipotechni-krediti-s-nova-vzmozhnost/
22,big data,Клиентите на ипотечни кредити с нова възможност да намалят вноските си,"Клиентите на УниКредит Булбанк имат възможност да се възползват от преференциални условия за ипотечно кредитиране на имоти с висок енергиен клас, коментираха експерти от банката по време на онлайн пресконференция, посветена на възможностите на пазара на ипотеките.",2021-02-17T13:44:47+02:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/klientite-na-ipotechni-krediti-s-nova-vzmozhnost/
23,big data,"0% лихва, такси, ГПР за 10 месеца от УниКредит Кънсюмър Файненсинг в ИКЕА",Предложението е валидно само за физически лица при кандидатстване за стоков кредит на обща стойност над 300 лв.,2021-02-01T10:24:24+02:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/0-lihva-taksi-gpr-za-10-meseca-ucf/
24,big data,Спечели шопинг битката заедно с любимия партньор на Черния петък ,"В края сме на една различна година, изпълнена с много предизвикателства и промени. Знаем, че по време на големите намаления всяка секунда е ценна, затова имаме удоволствието и тази година да бъдем до нашите клиенти като Любимия партньор на Черния петък.",2020-11-05T11:47:10+02:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/specheli-shoping-bitkata-zaedno-s-lyubimiya-partno/
25,big data,Бъди готов за всяка ситуация с екипировка от DECATHLON с 0% лихва от УКФ,"Бъди готов за всяка ситуация с екипировка от DECATHLON с 0% лихва, такси, ГПР при покупка на изплащане от УниКредит Кънсюмър Файненсинг!",2020-11-02T12:29:13+02:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/budi-gotov-za-vsqka-situaciq-s-ekipirovka/
26,big data,Изцяло дигитално отпускане на потребителски и стокови кредити от УниКредит Кънсюмър Файненсинг,През септември клиентите на дружеството могат да се възползват от страхотни промоции за покупки на изплащане.,2020-09-09T16:19:12+03:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/digitalno-otpuskane-na-krediti/
27,big data,"0% лихва, такси, ГПР за 10 месеца от УниКредит Кънсюмър Файненсинг в ИКЕА","Предложението е валидно само за физически лица при кандидатстване за потребителски кредит за покупка на стоки и услуги на обща стойност над 1000 лв. (след приспадане на евентуално използвани ваучери/отстъпки и други подобни), в периода до 30.06.2021",2020-06-22T17:13:58+03:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/0-lihva-taksi-gpr-za-10-meseca-ot-ucf-ikea/
28,big data,Вземете iPad Pro онлайн с Apple Pay от iStyle и УниКредит Кънсюмър Файненсинг,"Сега можете да закупите новия <strong>iPad Pro </strong>онлайн от iStyle с Apple Pay или безконтактно с Mastercard, добавена в Apple Wallet.",2020-04-09T17:10:43+03:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/vzemete-ipad-pro-onlajn-s-apple-pay-ot-istyle-i-un/
29,big data,Вземете iPad Pro онлайн с Apple Pay от iStyle и УниКредит Кънсюмър Файненсинг,"Сега можете да закупите новия <strong>iPad Pro </strong>онлайн от iStyle с Apple Pay или безконтактно с Mastercard, добавена в Apple Wallet.",2020-04-09T17:10:43+03:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/vzemete-ipad-pro-onlajn-s-apple-pay-ot-istyle-i-un/
30,big data,"10% отстъпка за всяка покупка от Гюлиян и 0% лихва, такси, ГПР при покупка на изплащане от УКФ",За всички любители на луксозни аксесоари Гюлиян и УниКредит Кънсюмър Файненсинг имат страхотна оферта.,2020-01-13T15:58:43+02:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/10-otstupka-2020/
31,big data,В УниКредит Кънсюмър Файненсинг заедно засаждаме бъдеще,"Доброволци от УниКредит Кънсюмър Файненсинг и филиал Пловдив „Кючук Париж“, заедно с част от семействата сизадружно засадиха65 дръвчета в близост до парк „Белите брези“ в град Пловдив.",2019-11-14T10:58:22+02:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/zaedno-zasazhdame-bdeshe/
32,big data,"0% лихва, такси, ГПР от УниКредит Кънсюмър Файненсинг в магазини от веригата MDL",В началото на есента УниКредит Кънсюмър Файненсинг е подготвил поредната страхотна изненада за своите клиенти.,2019-10-09T14:58:51+03:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/0-lihva-taksi-gpr-ot-unikredit-knsyumr-MDL/
33,big data,Възползвайте се от разнообразието и пазарувайте с отстъпка на изплащане,"Богат избор от стоки чакат своя нов собственик, сега с допълнителна отстъпка при покупка на изплащане!",2019-08-07T12:11:37+03:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/vuzpolzvaite-se-ot-raznoobrazieto/
34,big data,Вземете избрани смартфони от ново поколение с 0% оскъпяване от УниКредит Кънсюмър Файненсинг и eMAG!,"Подарете си летен подарък, запечатайте своите специални моменти и се насладете на всички най-нови функционалности.",2019-07-11T10:22:43+03:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/vzemete-izbrani-smartfoni-ot-novo-pokolenie/
35,big data,С УниКредит Кънсюмър Файненсинг и IKEA почивката е още по-достъпна,"До 31 август УниКредит Кънсюмър Файненсинг &nbsp;и IKEA ще са в съвместна промоционална кампания - 0% лихви, такси и ГПР за 10-месечен период на изплащане.",2019-07-04T15:13:49+03:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/s-unicredit-consumer-financing-i-ikea/
36,big data,-15% за всяка закупена книга от УниКредит Кънсюмър Файненсинг и Ozonе.Bg!,-15% за всяка закупена книга от УниКредит Кънсюмър Файненсинг и Ozonе.Bg!,2019-06-10T16:59:43+03:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/15-procenta-ucf-ozonebg/
37,big data,Промоция до 30 юни от УниКредит Кънсюмър Файненсинг и IKEA ,"До 30 юни УниКредит Кънсюмър Файненсинг &nbsp;и IKEA ще са в съвместна промоционална кампания, 0% лихви, 0% такси, 0% ГПР за 10-месечен период на изплащане.",2019-05-14T15:21:53+03:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/promociq-do-30-uni-zaedno-s-ucf/
