,keyword,title,summary,date,href
0,artificial intelligence,Bank digitalization,4 January 2018.,4 януари 2018,https://mediacenter.postbank.bg/bank-digitalization/
1,artificial intelligence,"Mrs. Petia Dimitrova, Chief Executive Officer and Chairperson of the Management Board of Postbank: We change banking through innovation",Interview for Economic Magazine.,24 март 2021,https://mediacenter.postbank.bg/mrs-petia-dimitrova-chief-executive-officer-chairperson-management-board-postbank-change-banking-innovation/
2,artificial intelligence,"Petia Dimitrova, CEO and Chairperson of the Management Board of Postbank: Today, Bulgarian companies use only deposits for financing",The asset quality review of Bulgarian banks aimed at reassuring society after the case with Corporate Commercial Bank. ,1 ноември 2017,https://mediacenter.postbank.bg/petia-dimitrova-ceo-chairperson-management-board-postbank-today-bulgarian-companies-deposits-financing/
3,artificial intelligence,"Petia Dimitrova, CEO of Postbank: You encourage the good example",Ikonomika Magazine.,29 май 2020,https://mediacenter.postbank.bg/petia-dimitrova-ceo-postbank-encourage-good/
4,artificial intelligence,Petia Dimitrova: Banking in a Digital World,"Petia Dimitrova, CEO and Chairperson of the Management Board of Postbank for CIO Times and its special edition “Most High-Impact Women Leaders Making a Difference, 2021“",1 февруари 2022,https://mediacenter.postbank.bg/petia-dimitrova-banking-digital-world/
5,artificial intelligence,Petia Dimitrova: Banks in Bulgaria are an indispensable factor in the prosperity of the economy,"Interview with Petia Dimitrova, Chief Executive Officer and Chairperson of the Executive Board of Postbank and Chairperson of ABB for the “Trud News”",20 декември 2023,https://mediacenter.postbank.bg/petia-dimitrova-banks-bulgaria-indispensable-factor-prosperity-economy-strategic-stability-country/
6,artificial intelligence,"Petia Dimitrova: By acquiring BNP Paribas Personal Finance, we will establish ourselves as the bank of choice for individual clients","Interview with Petia Dimitrova, Chief Executive Officer and Chairperson of the Management Board of Postbank for Investor.bg",5 януари 2023,https://mediacenter.postbank.bg/petia-dimitrova-acquiring-bnp-paribas-personal-finance-establish-bank-choice-individual-clients/
7,artificial intelligence,Petia Dimitrova: Success is only a step towards new success,"The year is going well and I expect it to be successful one for households and businesses, as well as for the banks. ",29 юни 2017,https://mediacenter.postbank.bg/petia-dimitrova-success-step-success/
8,artificial intelligence,Petia Dimitrova: The banking digitalization is our mission,We are moving at our customers’ pace and we are trying to be one step ahead of them at the same time.,20 март 2018,https://mediacenter.postbank.bg/petia-dimitrova-banking-digitalization-mission/
9,artificial intelligence,Petia Dimitrova: The challenging environment drives us to be even bigger winners,"Interview with Petia Dimitrova, Chief Executive Officer and Chairperson of the Management Board of Postbank for the Investor Digest Magazine",7 април 2023,https://mediacenter.postbank.bg/petia-dimitrova-challenging-environment-drives-bigger-winners/
10,artificial intelligence,The bank in your smartphone,"The first thing Petia Dimitrova, CEO and chairman of the Management Board at Postbank, does when he arrives in her office in the morning is to check her special hotline. ",25 октомври 2017,https://mediacenter.postbank.bg/bank-smartphone/
11,artificial intelligence,"Петя Димитрова, Мисис Икономика 2018: Дигитализацията е дълъг път, който ще извървим","Петя Димитрова, Мисис Икономика 2018: Дигитализацията е дълъг път, който ще извървим
сп. “Икономика” Петя Димитрова е главен изпълнителен директор и председател на Управителния съвет на Пощенска банка. Член е и на УС на Асоциацията на банките в България Изпълнена съм c респект и благодарност към всички, които са оценили нашия труд и нашето развитие през тези години. Това е награда за целия ни екип. Резултатите ни
20 декември 2018
Научете повече",20 декември 2018,https://mediacenter.postbank.bg/%d0%bf%d0%b5%d1%82%d1%8f-%d0%b4%d0%b8%d0%bc%d0%b8%d1%82%d1%80%d0%be%d0%b2%d0%b0-%d0%bc%d0%b8%d1%81%d0%b8%d1%81-%d0%b8%d0%ba%d0%be%d0%bd%d0%be%d0%bc%d0%b8%d0%ba%d0%b0-2018-%d0%b4%d0%b8%d0%b3%d0%b8/
